"Wed Nov 23 14:13:33 2016",,,,"Spectrum:  PV258_2.MCA",,,,"Logfile:  PV258_2.LOG"
"PV258_2.CNF               ",,,,,
"Internal Version:",,"v512",,
"Acquisition Date:",, "09-19-2013",,"07:55:46:000",,
"Elapsed Live Time:",,18000.00,"sec",,"Elapsed True Time:",,18000.00,"sec"

"Corrections:",,"none",,

" Energy","Sigma","Position","Sigma","CHSQ","SIGMA","   Ampl.","Sigma","Width","Sigma","Fwidth","Sigma","    Area","Sigma","    A","Sigma","    B","Sigma"," Bkground","    Sigma"," Slope","Sigma"," Curv","Sigma"," Step","Sigma"," Tail","Sigma","    V","Sigma"," Left","Right","AvgBkg"
  815.649,  0.066,  3020.981,  0.243,   1.1,    1.9,        37,      4,  4.980,  0.385,   4.980,  0.484,       195,     19,  0.272,  0.504,  0.167,  5.895,      9.895,      0.946,  -0.005,  0.036,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   2996,   3041,      10
  835.187,  0.139,  3093.332,  0.515,   0.9,    1.9,        12,      3,  5.567,  0.786,   5.567,  1.028,        72,     14,  0.260,  1.426,  0.176,  8.386,      9.542,      0.766,  -0.022,  0.029,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   3066,   3111,       9
 1115.252,  0.104,  4130.457,  0.386,   0.8,    1.7,        15,      2,  6.824,  0.514,   6.824,  0.708,       110,     13,  0.256,  1.114,  0.164,  6.188,      6.057,      0.543,  -0.019,  0.013,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   4106,   4173,       5
 1120.889,  0.077,  4151.331,  0.283,   0.8,    1.7,        23,      2,  6.824,  0.514,   6.824,  0.639,       169,     16,  0.256,  1.114,  0.164,  6.188,      6.057,      0.543,  -0.019,  0.013,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   4106,   4173,       5
 1172.910,  0.130,  4343.973,  0.481,   0.7,    1.9,        19,      3,  6.986,  0.863,   7.085,  1.084,       154,     17,  0.252,  0.596,  1.000,  0.001,      4.689,      0.656,   0.011,  0.022,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   4319,   4364,       5
 1188.777,  0.139,  4402.730,  0.514,   1.3,    1.9,        10,      2,  5.418,  1.140,   5.682,  1.353,        76,     15,  0.600,  0.000,  1.000,  0.000,      4.339,      0.709,   0.027,  0.027,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   4376,   4421,       5
 1221.048,  0.142,  4522.235,  0.526,   1.1,    1.9,        16,      3,  6.341,  1.156,   6.403,  1.344,       123,     15,  0.600,  0.002,  0.611,  0.624,      3.915,      0.668,   0.016,  0.026,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   4497,   4542,       4
 1331.931,  0.079,  4932.851,  0.294,   1.1,    1.9,        21,      2,  5.516,  0.510,   5.516,  0.637,       123,     13,  0.273,  0.664,  0.172,  6.571,      3.071,      0.468,  -0.006,  0.019,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   4909,   4954,       3
 1368.149,  0.052,  5066.974,  0.191,   1.5,    1.9,        64,      5,  6.796,  0.366,   6.796,  0.485,       465,     29,  0.294,  0.494,  0.176,  4.246,      2.194,      0.478,   0.005,  0.021,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   5041,   5086,       2
 1460.350,  0.060,  5408.407,  0.223,   0.9,    1.9,        35,      3,  6.351,  0.492,   6.629,  0.591,       290,     17,  0.600,  0.002,  0.948,  0.249,      1.512,      0.402,   0.014,  0.013,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   5384,   5429,       2
 1595.564,  0.053,  5909.125,  0.194,   1.4,    1.8,        50,      4,  6.369,  0.389,   6.679,  0.507,       427,     26,  0.600,  0.000,  1.000,  0.000,      1.199,      0.416,  -0.004,  0.011,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   5880,   5934,       1
 1731.161,  0.125,  6411.261,  0.463,   0.9,    1.8,         6,      1,  6.742,  1.302,   7.070,  1.573,        57,      9,  0.600,  0.001,  1.000,  0.000,      1.096,      0.300,   0.000,  0.008,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   6381,   6435,       1
   63.474,  0.078,   235.562,  0.290,   0.9,    2.0,        33,      7,  2.962,  0.000,   2.962,  0.346,       104,     21,  0.258,  1.030,  0.177,  5.958,     49.691,      1.881,   0.252,  0.085,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8407,   8443,      54
   73.123,  0.078,   271.294,  0.290,   1.2,    1.7,        48,     10,  2.967,  0.049,   2.994,  0.353,       164,     28,  0.282,  0.920,  0.829,  1.107,     62.578,      2.355,   0.071,  0.046,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8444,   8524,      65
   75.300,  0.052,   279.355,  0.191,   1.2,    1.7,       105,     17,  2.967,  0.049,   2.994,  0.283,       362,     35,  0.282,  0.920,  0.829,  1.107,     62.578,      2.355,   0.071,  0.046,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8444,   8524,      65
   81.323,  0.080,   301.658,  0.296,   1.2,    1.7,        33,      8,  2.967,  0.049,   2.994,  0.442,       113,     26,  0.282,  0.920,  0.829,  1.107,     62.578,      2.355,   0.071,  0.046,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8444,   8524,      65
   85.079,  0.094,   315.568,  0.348,   1.2,    1.7,        35,      8,  2.967,  0.049,   2.994,  0.410,       121,     27,  0.282,  0.920,  0.829,  1.107,     62.578,      2.355,   0.071,  0.046,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8444,   8524,      65
   99.871,  0.076,   370.346,  0.280,   1.1,    1.8,        51,      7,  3.526,  0.209,   3.526,  0.344,       191,     27,  0.274,  0.155,  0.191,  2.863,     64.246,      2.295,  -0.098,  0.062,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8542,   8603,      61
  104.042,  0.038,   385.791,  0.140,   1.1,    1.8,       111,      9,  3.526,  0.209,   3.526,  0.270,       418,     33,  0.274,  0.155,  0.191,  2.863,     64.246,      2.295,  -0.098,  0.062,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8542,   8603,      61
  106.413,  0.026,   394.571,  0.095,   1.1,    1.8,       131,     10,  3.526,  0.209,   3.526,  0.268,       493,     35,  0.274,  0.155,  0.191,  2.863,     64.246,      2.295,  -0.098,  0.062,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8542,   8603,      61
