"Mon Nov 21 10:14:42 2016",,,,"Spectrum:  PV258_1.MCA",,,,"Logfile:  PV258_1.LOG"
"PV258_1.CNF               ",,,,,
"Internal Version:",,"v512",,
"Acquisition Date:",, "09-12-2013",,"07:51:59:000",,
"Elapsed Live Time:",,3600.00,"sec",,"Elapsed True Time:",,3600.00,"sec"

"Corrections:",,"none",,

" Energy","Sigma","Position","Sigma","CHSQ","SIGMA","   Ampl.","Sigma","Width","Sigma","Fwidth","Sigma","    Area","Sigma","    A","Sigma","    B","Sigma"," Bkground","    Sigma"," Slope","Sigma"," Curv","Sigma"," Step","Sigma"," Tail","Sigma","    V","Sigma"," Left","Right","AvgBkg"
 1435.707,  0.144,  5317.152,  0.532,   1.2,    1.9,        36,      9,  5.467,  1.574,   5.467,  1.749,       207,     58,  0.119,  8.654,  0.179, 13.550,    105.491,      3.053,  -0.010,  0.117,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   5292,   5337,     105
 1731.636,  0.009,  6413.021,  0.032,   0.9,    1.8,      3041,     27,  7.980,  0.061,   8.119,  0.094,     29343,    202,  0.600,  0.000,  0.684,  0.040,    152.532,     24.395,  -0.208,  0.504,  0.000,  0.000, -0.013,  0.007,  0.000,  0.000, 20.423, 17.647,   6383,   6437,     125
   73.063,  0.056,   271.070,  0.206,   0.9,    1.9,       211,     17,  4.871,  0.219,   5.108,  0.329,      1380,    114,  0.600,  0.003,  1.000,  0.002,   1056.543,      9.004,   0.433,  0.313,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8443,   8487,    1067
   75.238,  0.035,   279.125,  0.129,   0.9,    1.9,       379,     19,  4.871,  0.219,   5.108,  0.269,      2487,    139,  0.600,  0.003,  1.000,  0.002,   1056.543,      9.004,   0.433,  0.313,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8443,   8487,    1067
   85.018,  0.074,   315.345,  0.276,   1.3,    2.0,       225,     24,  5.942,  0.742,   5.942,  0.835,      1421,    190,  0.267,  0.517,  0.189,  4.507,   1040.374,     10.837,   3.464,  0.507,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8487,   8523,    1106
  103.942,  0.162,   385.423,  0.601,   1.5,    1.9,       105,     29,  4.239,  0.779,   4.239,  1.026,       474,    133,  0.266,  1.098,  0.210,  9.379,   1218.724,     11.980,  -0.457,  0.443,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8556,   8601,    1208
  106.506,  0.134,   394.918,  0.496,   1.5,    1.9,       126,     31,  4.239,  0.779,   4.239,  0.978,       571,    149,  0.266,  1.098,  0.210,  9.379,   1218.724,     11.980,  -0.457,  0.443,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8556,   8601,    1208
  140.700,  0.009,   521.543,  0.033,   1.8,    2.1,      6340,    110,  4.873,  0.058,   4.939,  0.095,     36834,    392,  0.600,  0.001,  0.646,  0.078,   1185.541,     89.749,  -2.438,  2.793,  0.000,  0.000,  0.001,  0.006,  0.017,  0.014,479.743,101.431,   8694,   8730,    1200
  249.964,  0.167,   926.163,  0.617,   1.7,    2.0,       158,     45,  4.659,  1.188,   4.712,  1.426,       869,    175,  0.600,  0.007,  0.624,  1.246,   1074.826,     13.930,  -2.685,  0.615,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   9097,   9133,    1024
  307.108,  0.047,  1137.775,  0.173,   0.8,    2.0,       236,     15,  5.378,  0.366,   5.639,  0.432,      1709,    127,  0.600,  0.000,  1.000,  0.000,    797.337,      8.934,  -0.124,  0.388,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   9310,   9346,     795
  346.901,  0.083,  1285.137,  0.307,   1.0,    2.0,       261,     41,  4.812,  0.532,   4.937,  0.703,      1554,    134,  0.365,  0.698,  1.000,  0.003,    708.680,      9.887,  -0.351,  0.410,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   9458,   9494,     702
  510.790,  0.077,  1892.043,  0.284,   1.3,    2.0,      1223,     93,  7.831,  0.003,   8.211,  0.352,     12879,    983,  0.600,  0.002,  1.000,  0.003,    472.928,    137.988,   8.022,  6.828, -0.159,  0.098, -0.070,  0.033,  0.096,  0.006, 20.424, 84.250,  10065,  10107,     564
  512.096,  0.105,  1896.879,  0.389,   1.3,    2.0,       811,     95,  7.831,  0.003,   8.211,  0.540,      8544,   1002,  0.600,  0.002,  1.000,  0.003,    472.928,    137.988,   8.022,  6.828, -0.159,  0.098, -0.070,  0.033,  0.096,  0.006, 20.424, 84.250,  10065,  10107,     564
  529.990,  0.108,  1963.143,  0.402,   0.9,    2.0,       104,     12,  7.410,  1.072,   7.770,  1.231,      1035,    153,  0.600,  0.000,  1.000,  0.000,    522.342,      6.654,  -0.204,  0.314,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  10133,  10169,     518
  843.892,  0.028,  3125.568,  0.104,   1.2,    1.8,      1284,     51,  7.038,  0.158,   7.038,  0.247,     10080,    152,  0.600,  0.002,  0.459,  0.176,    439.331,      5.710,  -0.290,  0.158,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  11293,  11349,     431
  847.010,  0.083,  3137.116,  0.309,   1.2,    1.8,       154,     12,  7.038,  0.158,   7.038,  0.366,      1206,     93,  0.600,  0.002,  0.459,  0.176,    439.331,      5.710,  -0.290,  0.158,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  11293,  11349,     431
  857.977,  0.087,  3177.728,  0.321,   0.9,    2.0,       123,      9,  9.051,  0.000,   9.490,  0.373,      1501,    105,  0.600,  0.000,  1.000,  0.000,    425.036,      5.390,   0.275,  0.206,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  11348,  11388,     431
 1014.483,  0.054,  3757.292,  0.200,   0.9,    1.9,       417,     27,  6.968,  0.347,   7.098,  0.442,      3496,    141,  0.294,  0.285,  1.000,  0.001,    535.179,      7.582,  -0.260,  0.245,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  11924,  11969,     529
 1293.445,  0.018,  4790.334,  0.065,   1.0,    1.9,      1273,     37,  7.090,  0.124,   7.238,  0.180,     11035,    152,  0.591,  0.189,  0.722,  0.127,    174.487,     31.346,  -0.988,  0.764,  0.000,  0.000, -0.027,  0.022,  0.000,  0.001,  3.038,  3.712,  12957,  13002,     132
 1368.470,  0.003,  5068.160,  0.012,   1.3,    2.0,     26106,    103,  7.397,  0.020,   7.428,  0.095,    222565,    577,  0.600,  0.000,  0.553,  0.014,    176.652,     33.571,  -3.428,  1.479,  0.038,  0.023, -0.001,  0.001,  0.000,  0.000,  3.879,  0.369,  13235,  13280,     104
 1435.739,  0.170,  5317.268,  0.629,   1.3,    1.9,        34,      8,  5.569,  1.694,   5.569,  1.863,       200,     53,  0.229,  0.609,  0.205,  1.944,    103.154,      3.414,   0.016,  0.126,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  13484,  13529,     104
 1731.640,  0.008,  6413.035,  0.031,   0.9,    1.8,      2994,     29,  7.970,  0.065,   8.103,  0.100,     28767,    198,  0.600,  0.000,  0.676,  0.042,    146.630,     23.323,  -0.155,  0.476,  0.000,  0.000, -0.012,  0.007,  0.000,  0.000,  3.666,  1.407,  14575,  14629,     122
